title,engilsh_meaning,description,,
싫테 ,dislike terror,유튜브에 싫어요를 누르자,,
슬세권 ,hyperlocal,편한 복장으로 편의시설을 이용할 수 있는 주거 지역,,
갑통알 ,"Looking at my bank account all of a sudden, I need to work part-time.",갑자기 통장을 보니 알바해야겠다,,
설참 ,explantion reference,설명 참고,,
나심비 ,good for satisfaction,만족감을 위해 좋다,,
불소 ,fiery communication,불타는 소통,,
제곧내 ,EOM,EOM,,
횰로 ,alone YOLO,욜로 나홀로,,
닉차 ,nickname discrimination,닉네임 차별,,
시발비용 ,retail therapy,소매 요법,,
욘족,young and wealthy but normal,젋고 건강하지만 정상,,
스세권 ,starbucks area,스타벅스가 가까이 있는 생활권,,
무지개매너 ,rude,무지하게 매너가 없는 사람,,
얼죽아 ,"I only drink iced coffee, even when it’s freezing",얼어 죽어도 아이스 아메리카노,,
멍청비용 ,stupid waste,멍청하게 비용을 지불하다,,
N뚀 ,star,별,,
노멀 크러시 ,normal crush,노멀 크러시,,
아만추 ,pursue an anyone meeting,아무나 만남 추구,,
대유잼 ,hilarious,엄청 재미있는,,
#G ,Father-in-law,시아버지,,
개룡남 ,Self-Made Millionaire,자수성가한 백만장자,,
82피플,selling people,판매하는 사람들,,
할많하않 ,bit my tongue,혀를 깨물다,,
시조새파킹 ,old story,오래 된 이야기,,
푸라면 ,Shin Ramyun,신라면,,
인만추 ,pursue an artificial meeting,인위적인 만남 추구,,
졋잘싸 ,narrow defeat,졌지만 잘 싸웠다,,
톤어그로 ,dosen’t fit your skin tone,톤어그로,,
뚝배기 ,head,머리,,
낫닝겐 ,goddess,사람이 아님,,
고답이 ,stuffy person,답답한 사람,,
머박 ,awesome,대박,,
머장 ,captain,대장,,
편세권 ,Convenience store area,편의점이 가까이 있는 생활권,,
현타 ,reality check,현실 자각 타임,,
일생가? ,Is it possible for you to live your daily life?,일상생활 가능?,,
할만하않 ,bit my tongue,혀를 깨물다,,
사이다 ,Justice happened.,속이 시원하다,,
0개국어,semilingual,하나의 언어도 제대로 하지못함,,
JMTGR ,so delicious,엄청 맛있다,,
핑프 ,never raise a finger,손가락 하나 들지도 않음,,
믿거페 ,Trust and filter Facebook,믿고 거르는 페이스북,,
랜선 회초리질 ,online whipping,랜선 회초리질,,
관크 ,obstruct the view,관람을 방해,,
머전팡역시 ,Daejeon Metropolitan City,Daejeon Metropolitan City,,
세종머앟 ,King Sejong,세종대왕,,
워라벨 ,Work-Life Balance,워크 라이프 벨런스,,
호캉스 ,Staycation,Staycation,,
최애 ,bias,bias,,
난회골혜,What's this?,이건 뭐야?,,
반유 ,informal speech maintenance,반말모드 유지,,
정모 ,a regular meeting,정기 모임,,
떡상 ,skyrocket,skyrocket,,
더럽 ,The love,사랑해,,
영고 ,eternal pain,영원히 고통받는,,
금턴 ,,인턴도 하기 어려운 시대,,
스몸비 ,Smartphone Zombie,스마트폰좀비,,
교튽 ,principal,교장,,
존버 ,HODL,HODL,,
팩폭 ,hit the nail on the head,정곡을 찌르다,,
커엽 ,cute,귀엽다,,
소확행 ,small but certain happiness for myself,소소하지만 확실한 행복,,
흔틈 ,under cover of confusion,혼란을 틈타,,
궁물 ,ask a question,궁금한 것을 물어보다,,
반모 ,Informal mode,반말 모드,,
OOTD ,OOTD,OOTD,,
휘소가치 ,,휘발적 희소가치,,
솔까말 ,to be honest,솔직히 말해서,,
아바라 ,Iced vanilla latte,아이스 바닐라 라떼,,
문찐 ,nerd,nerd,,
머구 ,Daegu,대구,,
이거레알 ,no cap,no cap,,
TMI ,TMI,TMI,,
뽀시래기 ,adorable,사랑스러운,,
빠태 ,a quick change of attitude,빠르게 태도 전환,,
티本 ,Japan,일본,,
혼코,Coin singing room alone,혼자 코인 노래방,,
시강 ,extortion of sight,시선강탈,,
얼죽코 ,I'll wear a coat even if I freeze to death.,얼어 죽어도 코트,,
글설리 ,Exciting comments,재미있는 댓글,,
아싸 ,unsociable,사회성 없는 사람,,
렬루 ,real,진짜로,,
먹금 ,Don't pay attention.,주의를 기울이지 마세요,,
삼귀,a close relationship,가까운 사이,,
ㅇㅈ ,admit,인정,,
행복회로 ,have a happy imagination.,행복한 상상,,
댕댕이 ,dog,강아지,,
무민세대 ,Generation who wants to take a meaningless break,의미없는 휴식을 취하고 싶은 세대,,
복세편살 ,Let's live comfortable world,복잡한 세상 편하게 살자,,
가심비 ,good for satisfaction,가격말고 마음의 만족,,
JMT ,out of this world,아주 맛있다,,
올인빌 ,All in Village,올 인 빌리지,,
졌잘싸 ,narrow defeat,졌지만 잘 싸웠다,,
어그로 ,aggravation,도발,,
떡락 ,drop,떨어지다,,
낄끼빠빠 ,didn’t pass the vibe check,분위기 파악,,
불편러 ,SJW,SJW,,
롬곡옾눞 ,I bawled my eyes out.,폭풍눈물,,
케바케 ,It depends.,케이스에 따라서 다르다,,
누물보 ,Who asked?,누구 물어본 사람?,,
스라밸 ,Study-life balance,스터디 라이프 밸런스,,
법블레스유 ,The law has lived you.,법이 널 살렸다,,
마상 ,broken heart,마음의 상처,,
맥세권 ,McDonald’s area,맥도날드가 있는 주거지역,,
믿거 ,,무조건 거름,,
만반잘부 ,Nice to meet you,만나서 반가워 잘 부탁해,,
꽃길 ,bed of roses,꽃길,,
인싸 ,social,사회성 있는 사람,,
당신은 도덕책 ,what the hell are you,당신은 도대체...,,
엄근진 ,stern,엄격하고 진지한,,
뇌피셜 ,anecdata,일화,,
말넘심 ,That’s a harsh thing to say.,말이 너무 심하다,,
